grain_value,forecast_value,forecast_lower,forecast_upper,confidence_level,version,measure_name
T+1,19.028919680345478,10.933597739556811,33.118081790314434,0.95,5,Total Qty
T+2,18.8200034794183,10.606481594798941,33.39397026239134,0.95,5,Total Qty
T+3,18.61338094411917,10.26866598922919,33.739333866180736,0.95,5,Total Qty
T+4,18.4090268925714,9.923863095264698,34.14922877091321,0.95,5,Total Qty
T+5,18.206916419367047,9.575363616231018,34.61923941352075,0.95,5,Total Qty
T+6,18.00702489253163,9.226017643996085,35.14549375388028,0.95,5,Total Qty
