grain_value,forecast_value,forecast_lower,forecast_upper,confidence_level,version,measure_name
T+1,22.407448626890965,-49.307435404215624,94.12233265799756,0.95,5,Price
T+2,22.407448626890965,-54.31071964257045,99.12561689635238,0.95,5,Price
T+3,22.407448626890965,-59.0071083862607,103.82200564004263,0.95,5,Price
T+4,22.407448626890965,-63.446979591309,108.26187684509094,0.95,5,Price
T+5,22.407448626890965,-67.66827282845114,112.48317008223307,0.95,5,Price
T+6,22.407448626890965,-71.7004062351061,116.51530348888804,0.95,5,Price
